entity:ID,name,:LABEL
e0,民政部调运物资,my_entity
e1,宜昌市自然灾害救助指挥部,my_entity
e2,危房动员老百姓转移,my_entity
e3,距离,my_entity
e4,各地确保专款专用,my_entity
e5,小二型康家沟水库,my_entity
e6,极端天气影响,my_entity
e7,遭受洪涝风雹灾害的,my_entity
e8,县城多处被淹,my_entity
e9,支持,my_entity
e10,千亩以上圩堤溃决,my_entity
e11,农业部门组成工作组,my_entity
e12,当天通报,my_entity
e13,九江地,my_entity
e14,强降雨是直接原因,my_entity
e15,腾空库容,my_entity
e16,新居,my_entity
e17,福建省份遭受洪涝风雹灾害,my_entity
e18,临街商铺,my_entity
e19,重庆主城,my_entity
e20,较大挑战,my_entity
e21,常年同期2.9倍,my_entity
e22,来自拉萨市政府防汛抗旱指挥办公室消息,my_entity
e23,要求,my_entity
e24,大家,my_entity
e25,多生活可以,my_entity
e26,货物专用车,my_entity
e27,藏镍矿修路,my_entity
e28,地,my_entity
e29,当前处于防汛关键时刻,my_entity
e30,吃菜,my_entity
e31,副总理汪洋,my_entity
e32,化工原料桶,my_entity
e33,三明局地降雨量,my_entity
e34,贵州遭受袭击造成19个县市发生洪涝灾害,my_entity
e35,大量房屋,my_entity
e36,危险区域,my_entity
e37,山洪自然灾害,my_entity
e38,陕西洪涝灾区民房重建,my_entity
e39,洪涝灾害损失统计指标,my_entity
e40,很多游客,my_entity
e41,地质灾害气象风险,my_entity
e42,黄泽元,my_entity
e43,此次灾害原因之一,my_entity
e44,强降雨致41个县市遭受洪涝灾害,my_entity
e45,盆地湖,my_entity
e46,遭洪水袭击湘北局地,my_entity
e47,保证,my_entity
e48,阿坝州汶川县映秀镇,my_entity
e49,朱世强侯志红甘肃舟曲特大山洪泥石流灾害抢险救灾指挥部新闻中心,my_entity
e50,直接经济损失达1.75亿元人民币,my_entity
e51,三条流域片区,my_entity
e52,处龟兹矿业附近山谷,my_entity
e53,严重渭南市,my_entity
e54,各项指标,my_entity
e55,报制,my_entity
e56,云南昆明193毫米,my_entity
e57,岩石崩塌,my_entity
e58,一个强降雨云带,my_entity
e59,该县发生山洪灾害导致5人死亡,my_entity
e60,第一个灾区,my_entity
e61,严卫东主任,my_entity
e62,转移受灾群众,my_entity
e63,还有一个多月,my_entity
e64,甘肃庆阳设备公司,my_entity
e65,特大洪灾救援现场,my_entity
e66,引水隧洞突遇4人致遇难,my_entity
e67,中下游地,my_entity
e68,核灾工作重点,my_entity
e69,山阴县,my_entity
e70,抚远江段,my_entity
e71,受灾县市中超过5成以上,my_entity
e72,致电线落地,my_entity
e73,全国1311.9万人次受灾,my_entity
e74,柳树泉农场,my_entity
e75,万人9.9受灾,my_entity
e76,广东省公安消防总队,my_entity
e77,石羊哨段,my_entity
e78,灾区各地,my_entity
e79,地质灾害发生数量,my_entity
e80,安顺市关岭县,my_entity
e81,党政正职,my_entity
e82,教育卫生机构,my_entity
e83,多数民宅,my_entity
e84,凯圩内,my_entity
e85,如何,my_entity
e86,转移,my_entity
e87,陇南市宕昌县出现降雨天气,my_entity
e88,深入,my_entity
e89,救援队挖出,my_entity
e90,龙尾位置,my_entity
e91,防治县,my_entity
e92,本次天气过程,my_entity
e93,六十公分以下,my_entity
e94,中央预算水利资金,my_entity
e95,一个4岁孙女,my_entity
e96,牟定县委书记李绍文,my_entity
e97,十万人受困,my_entity
e98,干流湟源水文站,my_entity
e99,嘉陵江水位,my_entity
e100,防办人士,my_entity
e101,年久失修房屋,my_entity
e102,镇单日,my_entity
e103,扎草路抢修,my_entity
